DOCUMENTO;ZONAFRANCA?;FECHA;CLIENTE;NOMBRE;BUQUE;ARTICULO;DESCRIPCION;UD;UNIDADES;KG.BRUTOS;KG.NETOS;KG.FACTURAR;P.V.P.;DTO.;IMPORTE;P.COSTE
222277;S;31/01/2023;9998;ENTREPOT NAVAL, SL;ENTREPOT NAVAL;X25;GUANTES SHOWA AZUL R/660-9/L;U;10;2;1;;3,99;;39,9;1,9
222277;S;31/01/2023;9998;ENTREPOT NAVAL, SL;ENTREPOT NAVAL;A80;CALCETINES;U;1;0.21;0.1;;5,2;;5,2;1,75
222277;S;31/01/2023;9998;ENTREPOT NAVAL, SL;ENTREPOT NAVAL;G31;PAN RALLADO 1/250grs;U;4;1;1;;0,53;;2,12;0,392
222277;S;31/01/2023;9998;ENTREPOT NAVAL, SL;ENTREPOT NAVAL;AJ9;SALSA SOJA KIKKOMAN 1/250ml;U;5;1.4;1.25;;3,6;;18;2,49
222335;S;03/01/2023;1007;PESQUEIRA ILHA BRAVA, LDA.;ILHA BRAVA;AF1;GRAPADORA CT-2000/5 MUELAS;U;4;40;36;;263,9;;1055,6;204
222335;S;03/01/2023;1007;PESQUEIRA ILHA BRAVA, LDA.;ILHA BRAVA;A70;GRAPA NIQUEL 2.8x18 C/2.000und;U;4;40;20;;0,076;;608;0,0561
222335;S;03/01/2023;1007;PESQUEIRA ILHA BRAVA, LDA.;ILHA BRAVA;AC6;GRAPA COBRE 4.2x18 C/500und;U;2;4.6;4.6;;0,181;;181;0,083
222335;S;03/01/2023;1007;PESQUEIRA ILHA BRAVA, LDA.;ILHA BRAVA;A70;GRAPA NIQUEL 2.8x18 C/2.000und;U;2;20;10;;0,076;;304;0,0561
222335;S;03/01/2023;1007;PESQUEIRA ILHA BRAVA, LDA.;ILHA BRAVA;0O4;GUANTES LANA;U;120;8.46;8.4;;0,39;;46,8;0,227
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;E20;ARROZ GRANO LARGO 1/KILO;K;30;30.74;30;;1,2;;36;0,87
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;J07;CAFE SOLUBLE DESCAFEINA 1/200g;U;4;1;0.8;;3,57;;14,28;2,55
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;L64;COLA CAO ORIGINAL 1/800 gr;U;3;2.55;2.4;;6,34;;16,59;4,69
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;GN1;"GALLETAS MARIA ""MB"" 4/200gr";U;10;9;9;;1,65;;16,5;1,18
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;T61;MAIZ DULCE 1/500gr;U;6;6;4.8;;1,05;;5,88;0,75
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;L28;ALUBIA BLANCA PAQUETE KILO;K;3;3.3;3;;2,52;;7,56;1,8
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;L27;LENTEJA CASTELLANA 1/KILO;K;2;2.2;2;;2,03;;3,76;1,45
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;HN1;GRELOS AL NATURAL 1/500gr;U;12;6;5.7;;1,87;;19,56;1,38
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;E18;SERVILLETAS 33X33 1/PAQUETE;U;15;1.42;1.4;;0,78;;11,7;0,56
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;GZ8;PAPEL COCINA MULTIUSOS GRANDE;U;2;0.5;0.37;;3,29;;5,3;2,35
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;N35;LEJIA NORMAL LITRO;U;20;22;20;;0,49;;9,4;0,35
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;800;AGUA SANA S/GAS 6/1500ml;U;17;170;153;;0,28;;28,56;0,198
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;GP2;LAVAVAJILLAS FAIRY 1/615ml;U;16;11;9.84;;2,37;;37,92;1,75
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;327;DISICLIN LIMPIADR LAVANDA 1/LT;U;6;7.5;6;;1,29;;6,66;0,95
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;0L3;QUESO EDAM BARRA 1/PIEZA;K;1;3.5;3.47;3.7;8,64;;29,98;6,4
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;OM0;BARRA MEIGA MEDITERRA.23/275GR.;U;2;20;12.65;;0,67;;33,12;0,4463
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;429;ALAS POLLO CONGELADAS;K;2;10.25;10;10;3,99;;23;2,85
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;132;MUSLOS DE POLLO-Traseros Pollo;K;2;10.38;10;10;2,97;;21;2,2
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;H54;SALCHICHON BARRA;K;1;2;1.7;1.9;6,62;;8,42;4,724
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;H56;CHORIZO BARRA/VELA;K;1;2;1.89;2;6,87;;10,66;4,905
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;595;OREJAS DE CERDO SALADAS;K;1;1;1;1;4,73;;4,73;3,5
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;594;COSTILLA CERDO CARNUDA SALADA;K;1;3;2.34;2.40;6,61;;15,47;4,5
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;GG5;AZUCAR BLANQUILLA 1/KILO;K;8;8.33;8;;1,75;;14;1,29
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;719;RABOS CERDO SALADOS;K;1;1.1;1.05;1.10;4,12;;4,33;3,05
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;718;PATAS DE CERDO SALADAS;K;1;1.2;1.1;1.10;2,97;;3,27;2,2
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;2A3;CHORIZO COCIDO;K;1;1;1;1;8,43;;6,17;4,35
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;2EY;COSTILLA CERDO MEDIA CONGELADA;K;1;8;7.95;8;4,62;;36,73;3,3
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;131;LENGUAS VACUNO CONGELADAS;K;1;4;3.6;3.60;6,89;;24,8;5,1
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;R74;AGUJA TERNERA C/HUESO;K;1;6;5.78;5.9;9,1;;54,62;7
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;135;RABOS VACUNO Congelados;K;1;4;3.42;3.6;11,44;;39,12;8,8
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;706;CHORIZO CRIOLLO;K;1;3;2.14;2.20;5,74;;12,28;4,1
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;1UA;CHULETA CERDO CONG.;K;1;6;5.65;5.7;5,22;;29,49;3,4
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;315;FILETE TERNERA;K;1;6;5.8;5.80;13,72;;79,58;9,8
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;X92;CREMA CACAO 2 CREMAS 1/500gr;U;2;1;1;;2,59;;5,18;1,85
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;B96;CHULETAS TERNERA;K;1;15;14.7;14.7;11,13;;163,61;7,95
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;2F0;COSTILLA TERNERA TIRA CONGELAD;K;1;7;6.15;6.20;6,68;;41,08;4,95
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;T61;MAIZ DULCE 1/500gr;U;6;6;4.8;;1,05;;5,88;0,75
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;983;MANTEQUILLA S/SAL 1/250gr;U;2;0.5;0.5;;3,75;;8,6;2,675
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;R63;HARINA PAQUETE KILO;K;4;4;4;;0,87;;3,48;0,62
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;OY1;LECHE CONDENSADA C/C 1/397gr;U;2;0.83;0.79;;1,65;;2,88;1,192
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;P58;TOMATE FRITO SOLIS BRIK/350gr;U;12;6;4.2;;0,77;;9,24;0,55
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;L14;SAL FINA YODADA 1/KILO;K;4;4.8;4;;0,29;;1,12;0,19
222338;S;02/01/2023;42;ANTONIO Y SAMUEL;ZAMORA II;SU7;FILETE CABALLA A/VEG 1/Lata;U;10;1.2;1;;1,19;;11,5;0,85
