ARTICULO;DESCRIPCION;PROVEEDOR;NOMBRE;STOCK;IMPORTE
0A0;COLCHON MUELLES MENORCA 80;0A0;COLCHONERIA MARCO, S. L.;6;94
0A0;COLCHON MUELLES MENORCA 80;0A0;ENTREPOT NAVAL, S. L.;3;85
0A2;HILO NYLON AZUL 5.00mm/100mt;0A2;PAMPILLON CORDELERIAS, S.L.;2;9,5
0A5;CHAMPI¥ON ENTERO 12/370gr;0A5;DIMERCA-DISTRIB. MERA Y CARMES S.L.;10;10,92
0A6;COLCHON ESPUMA ACOLCHADO 80;0A6;COLCHONERIA MARCO, S. L.;1;67
0A7;PARES GUANTES HORNO;0A7;FERNANDO ESCOLA, C.B.;3;6,9
0A8;ZUMO MELOCOTON 24X200ML.;0A8;MERCASH SAR, S. L.;2;5,36
00A;CRC CONTACT CLEANER 200CC;00A;ORVILUX ELECTRICIDAD, S.L.;6;13,88
0AA;ZUMO MULTIFRUTAS 30X200ML.;0AA;MERCASH SAR, S. L.;1;7,2
0AA;ZUMO MULTIFRUTAS 30X200ML.;0AA;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;3;6,45
0AB;LAVAVAJILLAS ABRIL SOMAT 10/LT;0AB;PONTEVICUS, S. L.;2;52
0AF;SALSA PICANTE 1/200ml;0AF;DISTRIBUCIONES LORRI C.B.;46;1,3
0AG;TUBO LONA DIAMETRO 150MM(10MT);0AG;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;1;64,48
0AI;VALVULA MARIPOSA TIPO LUG DN80;0AI;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;2;80,56
0AJ;ALAMBRE 1.25x19H Inx;0AJ;PASAXE Suministros Navales, S. L.;2;110
0AL;CIERRE MECANICO H40;0AL;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;2;28,42
0AN;BOYA A-2 LISA ROJA;0AN;A POUTADA, S. L.;356;20,47
0AN;BOYA A-2 LISA ROJA;0AN;EURORED VIGO, S. L.;2;23,17
0AO;FREGONA VILEDA TIRAS RECAMBIO;0AO;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;4;1,15
0AP;BOTAS AGUA BLANCA SEGURIDAD 43;0AP;MERPIVI COMERCIAL  S.L.;1;30,5
0AQ;DETERGENTE LAVADORA T/5.850GRS;0AQ;MERCASH SAR, S. L.;17;6,58
0AR;COLA CAO 390GR.;0AR;MERCASH SAR, S. L.;1;2,25
0AR;COLA CAO 390GR.;0AR;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;10;4,35
0AT;CONO HELADO 3 CHOCOL C/16UND.;0AT;BECOGALIA AFINES S.L.(LOPEZ FREIRE);3;17,39
0AU;CONO HELADO LIMON C/16UND.;0AU;BECOGALIA AFINES S.L.(LOPEZ FREIRE);3;17,39
0AV;MEJORANTE Paquete 500grs;0AV;ENTREPOT NAVAL, S. L.;6;2,41
0AW;AMBIENTADOR AIRWICK ELECTRICO;0AW;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;1;2,69
0AX;RECAMBIO AIRWICK ELECTRICO;0AX;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;5;2,35
